,disasterNumber,obligationAmount,state,incidentType,declarationTitle,incidentBeginDate
145,4125,6298.040000000001,SD,Severe Storms,"SEVERE STORMS,  TORNADO,  AND FLOODING",2013-05-24T00:01:00.000Z
146,4126,1108201.32,IA,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2013-05-19T00:00:00.000Z
147,4127,78.23999999999978,MT,Flood,FLOODING,2013-05-19T00:01:00.000Z
148,4129,959466.4199999999,NY,Flood,SEVERE STORMS AND FLOODING,2013-06-26T12:45:00.000Z
149,4130,22339.95,MO,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  TORNADOES,  AND FLOODING",2013-05-29T10:18:38.000Z
150,4131,1164778.5400000003,MN,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND FLOODING",2013-06-20T01:00:00.000Z
152,4137,0.0,SD,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2013-06-19T00:01:00.000Z
153,4141,227933.33999999997,WI,Severe Storms,"SEVERE STORMS,  FLOODING,  AND MUDSLIDES",2013-06-20T00:00:00.000Z
154,4145,9053099.45,CO,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2013-09-11T20:00:00.000Z
155,4146,263050.58999999997,NC,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2013-07-03T00:00:00.000Z
156,4148,0.0,NM,Severe Storms,SEVERE STORMS AND FLOODING,2013-07-23T00:00:00.000Z
157,4149,3107.7300000000005,PA,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2013-06-26T00:00:00.000Z
158,4150,10947.32,KS,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  TORNADOES,  AND FLOODING",2013-07-22T12:00:00.000Z
159,4151,273022.05,NM,Severe Storms,SEVERE STORMS AND FLOODING,2013-09-13T00:00:00.000Z
160,4154,0.0,ND,Severe Storms,SEVERE WINTER STORM,2013-10-04T00:00:00.000Z
161,4155,25909.690000000002,SD,Severe Storms,"SEVERE WINTER STORM,  SNOWSTORM,  AND FLOODING",2013-10-03T00:00:00.000Z
162,4157,2723.09,IL,Tornado,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND TORNADOES",2013-11-17T00:01:00.000Z
163,4159,133625.85,TX,Severe Storms,SEVERE STORMS AND FLOODING,2013-10-30T00:00:00.000Z
164,4160,113021.52,AR,Severe Ice Storm,SEVERE WINTER STORM,2013-12-05T00:00:00.000Z
165,4162,0.0,AK,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND FLOODING",2013-11-05T00:01:00.000Z
166,4163,0.0,VT,Severe Ice Storm,SEVERE WINTER STORMS,2013-12-20T00:00:00.000Z
167,4164,-2.2737367544323206e-13,OK,Severe Storms,SEVERE WINTER STORM,2013-12-05T00:00:00.000Z
168,4165,2239.68,GA,Severe Ice Storm,SEVERE WINTER STORM,2014-02-10T12:00:00.000Z
169,4166,2451574.6399999997,SC,Severe Ice Storm,SEVERE WINTER STORM,2014-02-10T12:00:00.000Z
170,4168,3190934.26,WA,Mud/Landslide,FLOODING AND MUDSLIDES,2014-03-22T10:37:00.000Z
171,4174,308420.77,AR,Severe Storms,"SEVERE STORMS, TORNADOES,  AND FLOODING",2014-04-27T00:00:00.000Z
172,4175,425341.49,MS,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2014-04-28T00:01:00.000Z
173,4176,118839.08,AL,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2014-04-28T00:01:00.000Z
174,4177,5402.12,FL,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2014-04-28T00:01:00.000Z
175,4179,233712.15,NE,Tornado,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2014-05-11T00:00:00.000Z
176,4180,2518.01,NY,Severe Storms,SEVERE STORMS AND FLOODING,2014-05-13T00:00:00.000Z
177,4181,3542.5,IA,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2014-06-03T12:00:00.000Z
178,4182,1949.9499999999998,MN,Flood,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2014-06-11T01:00:00.000Z
179,4183,77921.73000000001,NE,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2014-06-14T16:00:00.000Z
180,4186,48765.68,SD,Flood,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2014-06-13T16:19:00.000Z
181,4188,82404.84,WA,Fire,WILDFIRES,2014-07-09T00:01:00.000Z
182,4189,154605.1,TN,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2014-06-05T12:00:01.000Z
183,4190,6202.280000000001,ND,Flood,SEVERE STORMS AND FLOODING,2014-06-25T00:00:00.000Z
184,4195,468692.35,MI,Flood,SEVERE STORMS AND FLOODING,2014-08-11T08:00:00.000Z
185,4196,2483.03,KY,Severe Storms,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2014-08-18T12:00:01.000Z
186,4197,0.0,NM,Severe Storms,SEVERE STORMS AND FLOODING,2014-07-27T00:00:00.000Z
